##,97886.75,289.50
##,97886.00,290.13
##,97882.50,290.06
##,97885.50,290.38
##,97881.00,290.44
##,97880.50,290.50
##,97876.75,290.25
##,97877.00,290.63
##,97879.50,290.81
##,97883.75,290.25
##,97877.50,290.69
##,97881.75,290.50
##,97882.25,290.25
##,97884.75,290.25
##,97886.25,290.38
##,97881.25,290.25
##,97885.50,289.69
##,97883.00,290.19
##,97885.25,290.06
##,97885.75,290.00
##,97884.25,290.25
##,97883.25,290.06
##,97885.25,290.25
##,97885.00,290.31
##,97882.00,290.25
##,97885.00,290.25
##,97884.25,290.06
##,97884.75,290.06
##,97885.00,290.19
##,97884.25,290.19
##,97881.25,289.94
##,97880.25,290.31
##,97882.00,289.81
##,97883.25,290.19
##,97883.00,289.94
##,97887.00,289.56
##,97888.00,289.81
##,97886.25,289.63
##,97887.00,289.69
##,97886.50,289.56
##,97887.25,289.69
##,97885.75,289.81
##,97886.00,289.81
##,97884.00,290.00
##,97886.75,289.94
##,97886.50,289.81
##,97887.75,289.69
##,97888.75,289.81
##,97890.25,289.69
##,97889.50,289.81
##,97888.50,289.81
##,97889.25,289.56
##,97888.25,289.81
##,97888.00,289.69
##,97886.25,289.94
##,97886.25,289.69
##,97890.00,289.69
##,97891.75,289.81
##,97889.25,289.69
##,97887.50,289.94
##,97889.25,289.69
##,97888.75,289.63
##,97889.00,289.63
##,97889.25,289.69
##,97889.50,289.38
##,97887.25,289.56
##,97889.50,289.63
##,97888.00,289.81
##,97890.25,289.69
##,97888.25,289.94
##,97887.50,289.75
##,97888.25,289.44
##,97889.00,289.94
##,97888.50,289.31
##,97892.00,289.56
##,97890.00,289.69
##,97889.50,289.56
##,97889.50,289.56
##,97892.75,289.56
##,97888.50,289.81
##,97888.25,290.13
##,97885.50,289.94
##,97887.50,289.88
##,97885.50,289.81
##,97886.75,290.06
##,97884.25,290.06
##,97882.25,290.00
##,97882.00,290.38
##,97884.75,290.06
##,97887.75,290.31
##,97886.75,290.38
##,97886.25,290.19
##,97884.25,290.13
##,97884.75,290.25
##,97883.25,290.00
##,97883.00,289.94
##,97888.50,290.06
##,97884.25,289.94
##,97887.25,289.88
##,97885.00,289.75
##,97887.00,290.06
##,97887.00,290.19
##,97882.75,289.94
##,97885.75,290.19
##,97886.00,290.25
##,97884.25,290.31
##,97882.75,290.25
##,97880.50,290.13
##,97882.25,290.19
##,97877.00,290.06
##,97881.75,289.94
##,97882.00,290.19
##,97883.25,290.25
##,97881.50,290.38
##,97885.50,290.13
##,97881.00,290.19
##,97885.50,290.19
##,97882.25,290.19
##,97885.50,290.31
##,97883.50,290.44
##,97880.25,290.25
##,97881.00,290.25
##,97880.75,290.44
##,97882.75,290.19
##,97880.75,290.19
##,97879.25,290.25
##,97880.75,290.25
##,97878.00,290.38
##,97878.00,290.38
##,97880.75,290.19
##,97878.50,290.38
##,97880.75,290.56
##,97879.75,290.19
##,97881.00,290.38
##,97878.75,290.00
##,97879.25,290.31
##,97877.75,290.69
##,97877.25,290.56
##,97879.75,290.44
##,97878.00,290.50
##,97875.75,290.56
##,97877.50,290.44
##,97877.25,290.50
##,97880.00,290.38
##,97877.00,290.69
##,97877.75,290.31
##,97877.00,290.63
##,97876.00,290.44
##,97878.75,290.44
##,97879.75,290.63
##,97879.00,290.56
##,97877.75,290.44
##,97878.75,290.63
##,97876.25,290.75
##,97880.50,290.19
##,97882.50,290.19
##,97880.00,290.38
##,97880.75,290.56
##,97880.00,290.19
##,97878.25,290.25
##,97876.25,290.19
##,97881.75,290.69
##,97878.50,290.31
##,97886.00,290.38
##,97882.25,290.13
##,97878.50,290.56
##,97878.75,290.00
##,97880.75,290.75
##,97880.00,290.38
##,97880.50,290.25
##,97879.25,290.25
##,97877.75,290.50
##,97878.00,290.56
##,97876.50,290.44
##,97879.00,290.56
##,97878.50,290.31
##,97877.50,290.56
##,97877.50,290.50
##,97877.25,290.69
##,97878.50,290.81
##,97878.00,290.69
##,97875.25,290.44
##,97878.75,290.19
##,97879.75,290.19
##,97885.00,290.13
##,97882.25,290.06
##,97883.75,289.94
##,97884.50,290.13
##,97885.00,290.13
##,97887.50,290.06
##,97882.50,290.00
##,97885.50,290.06
##,97887.25,290.19
##,97884.50,290.13
##,97882.75,290.13
##,97883.25,290.13
##,97883.75,290.19
##,97884.00,290.38
##,97880.00,290.81
##,97880.50,290.38
##,97879.25,290.44
##,97877.75,290.38
##,97878.25,290.69
##,97876.50,290.75
##,97875.00,290.44
##,97875.25,290.94
##,97873.00,290.69
##,97874.25,290.94
##,97874.25,290.94
##,97873.75,290.81
##,97875.75,290.81
##,97871.25,291.19
##,97876.75,291.00
##,97874.50,290.88
##,97871.75,291.13
##,97872.50,290.81
##,97875.00,291.00
##,97875.75,290.81
##,97877.25,290.88
##,97876.25,290.69
##,97870.00,290.94
##,97874.00,290.69
##,97873.75,290.81
##,97869.25,291.00
##,97874.00,291.19
##,97872.00,291.00
##,97869.75,290.81
##,97868.25,291.19
##,97870.50,291.31
##,97870.75,291.38
##,97872.00,290.94
##,97870.00,290.94
##,97869.50,290.81
##,97869.00,291.06
##,97870.25,291.19
##,97871.25,291.25
##,97869.75,291.25
##,97869.50,291.19
##,97871.50,291.06
##,97865.25,291.13
##,97863.00,291.38
##,97866.75,291.38
##,97866.50,291.50
##,97866.75,291.56
##,97869.25,291.44
##,97867.50,291.63
##,97868.50,291.50
##,97867.75,291.56
##,97867.75,291.25
##,97867.25,291.50
##,97868.00,291.50
##,97867.00,291.44
##,97867.50,291.38
##,97868.50,291.38
##,97867.50,291.44
##,97871.50,291.38
##,97865.00,291.31
##,97867.00,291.19
##,97870.50,291.25
##,97871.00,290.94
##,97869.50,290.69
##,97867.50,291.25
##,97868.00,291.13
##,97872.50,291.25
##,97871.50,291.13
